SymmetricIProfile,,,,,
CatalogueName,Depth,Width,WebThickness,FlangeThickness,RootRadius
RHS 120x80x4,0.12,0.08,0.004,0.004,
RHS 120x80x5,0.12,0.08,0.005,0.005,
RHS 120x80x6.3,0.12,0.08,0.0063,0.0063,
RHS 120x80x7.1 #,0.12,0.08,0.0071,0.0071,
RHS 120x80x8,0.12,0.08,0.008,0.008,
RHS 120x80x8.8 #,0.12,0.08,0.0088,0.0088,
RHS 120x80x10,0.12,0.08,0.01,0.01,
RHS 120x80x12.5 #,0.12,0.08,0.0125,0.0125,
RHS 150x100x4 #,0.15,0.1,0.004,0.004,
RHS 150x100x5,0.15,0.1,0.005,0.005,
RHS 150x100x6.3,0.15,0.1,0.0063,0.0063,
RHS 150x100x7.1 #,0.15,0.1,0.0071,0.0071,
RHS 150x100x8,0.15,0.1,0.008,0.008,
RHS 150x100x8.8 #,0.15,0.1,0.0088,0.0088,
RHS 150x100x10,0.15,0.1,0.01,0.01,
RHS 150x100x12.5,0.15,0.1,0.0125,0.0125,
RHS 160x80x4 #,0.16,0.08,0.004,0.004,
RHS 160x80x5,0.16,0.08,0.005,0.005,
RHS 160x80x6.3,0.16,0.08,0.0063,0.0063,
RHS 160x80x7.1 #,0.16,0.08,0.0071,0.0071,
RHS 160x80x8,0.16,0.08,0.008,0.008,
RHS 160x80x8.8 #,0.16,0.08,0.0088,0.0088,
RHS 160x80x10,0.16,0.08,0.01,0.01,
RHS 160x80x12.5,0.16,0.08,0.0125,0.0125,
RHS 180x60x4 #,0.18,0.06,0.004,0.004,
RHS 180x60x5 #,0.18,0.06,0.005,0.005,
RHS 180x60x6.3 #,0.18,0.06,0.0063,0.0063,
RHS 180x60x7.1 #,0.18,0.06,0.0071,0.0071,
RHS 180x60x8 #,0.18,0.06,0.008,0.008,
RHS 180x60x8.8 #,0.18,0.06,0.0088,0.0088,
RHS 180x60x10 #,0.18,0.06,0.01,0.01,
RHS 180x60x12.5 #,0.18,0.06,0.0125,0.0125,
RHS 180x100x4 #,0.18,0.1,0.004,0.004,
RHS 180x100x5 #,0.18,0.1,0.005,0.005,
RHS 180x100x6.3 #,0.18,0.1,0.0063,0.0063,
